'NGCP::Panel::Model::CA','0.006904'
'NGCP::Panel::Model::DB','0.069523'
'NGCP::Panel::Model::DB::Base','0.002397'
'NGCP::Panel::Model::InterceptDB','0.00324'
'NGCP::Panel::Model::InterceptDB::Base','0.002532'
'NGCP::Panel::View::TT','0.023932'
'NGCP::Panel::View::HTML','0.001506'
'NGCP::Panel::View::JSON','0.004962'
'NGCP::Panel::Controller::Lnp','0.826789'
'NGCP::Panel::Controller::Pbx','1.122506'
'NGCP::Panel::Controller::NCOS','0.086699'
'NGCP::Panel::Controller::Root','0.073494'
'NGCP::Panel::Controller::Login','0.008604'
'NGCP::Panel::Controller::Sound','0.10373'
'NGCP::Panel::Controller::Device','0.202717'
'NGCP::Panel::Controller::Domain','0.066824'
'NGCP::Panel::Controller::Logout','0.00835'
'NGCP::Panel::Controller::Billing','0.091111'
'NGCP::Panel::Controller::Contact','0.037967'
'NGCP::Panel::Controller::Grafana','0.0075'
'NGCP::Panel::Controller::Invoice','0.044366'
'NGCP::Panel::Controller::Network','0.035209'
'NGCP::Panel::Controller::Package','0.035372'
'NGCP::Panel::Controller::Peering','0.256005'
'NGCP::Panel::Controller::Product','0.005781'
'NGCP::Panel::Controller::Rewrite','0.064232'
'NGCP::Panel::Controller::Voucher','0.042176'
'NGCP::Panel::Controller::API::SMS','0.274668'
'NGCP::Panel::Controller::Callflow','0.025791'
'NGCP::Panel::Controller::Contract','0.047471'
'NGCP::Panel::Controller::Customer','0.203051'
'NGCP::Panel::Controller::Reseller','0.05587'
'NGCP::Panel::Controller::Security','0.042154'
'NGCP::Panel::Controller::API::Root','0.031167'
'NGCP::Panel::Controller::Dashboard','0.009171'
'NGCP::Panel::Controller::API::Calls','0.011352'
'NGCP::Panel::Controller::API::Faxes','0.036935'
'NGCP::Panel::Controller::Statistics','0.021171'
'NGCP::Panel::Controller::Subscriber','0.559254'
'NGCP::Panel::Controller::API::Admins','0.013316'
'NGCP::Panel::Controller::API::Events','0.010559'
'NGCP::Panel::Controller::CallRouting','0.021051'
'NGCP::Panel::Controller::InternalSms','0.028592'
'NGCP::Panel::Controller::NumberBlock','0.040749'
'NGCP::Panel::Controller::API::Domains','0.02809'
'NGCP::Panel::Controller::API::RtcApps','0.030597'
'NGCP::Panel::Controller::API::SMSItem','0.011388'
'NGCP::Panel::Controller::API::Invoices','0.012482'
'NGCP::Panel::Controller::API::Vouchers','0.018765'
'NGCP::Panel::Controller::Administrator','0.054788'
'NGCP::Panel::Controller::EmailTemplate','0.031183'
'NGCP::Panel::Controller::MaliciousCall','0.02033'
'NGCP::Panel::Controller::API::BannedIps','0.0038'
'NGCP::Panel::Controller::API::CallLists','0.01489'
'NGCP::Panel::Controller::API::CallsItem','0.006423'
'NGCP::Panel::Controller::API::Contracts','0.027581'
'NGCP::Panel::Controller::API::Customers','0.025978'
'NGCP::Panel::Controller::API::FaxesItem','0.008228'
'NGCP::Panel::Controller::API::Reminders','0.014831'
'NGCP::Panel::Controller::API::Resellers','0.025772'
'NGCP::Panel::Controller::API::SoundSets','0.025264'
'NGCP::Panel::Controller::API::TopupCash','0.028952'
'NGCP::Panel::Controller::API::TopupLogs','0.009263'
'NGCP::Panel::Controller::API::AdminCerts','0.00406'
'NGCP::Panel::Controller::API::CFMappings','0.015832'
'NGCP::Panel::Controller::API::CFTimeSets','0.021136'
'NGCP::Panel::Controller::API::EventsItem','0.006543'
'NGCP::Panel::Controller::API::LnpNumbers','0.028546'
'NGCP::Panel::Controller::API::NcosLevels','0.01575'
'NGCP::Panel::Controller::API::PbxDevices','0.017411'
'NGCP::Panel::Controller::API::SoundFiles','0.025435'
'NGCP::Panel::Controller::API::SpeedDials','0.033995'
'NGCP::Panel::Controller::API::Voicemails','0.009293'
'NGCP::Panel::Controller::InvoiceTemplate','0.064138'
'NGCP::Panel::Controller::PeeringOverview','0.021386'
'NGCP::Panel::Controller::SOAP::Intercept','0.179422'
'NGCP::Panel::Controller::API::BannedUsers','0.00712'
'NGCP::Panel::Controller::API::BillingFees','0.039415'
'NGCP::Panel::Controller::API::DomainsItem','0.024012'
'NGCP::Panel::Controller::API::LnpCarriers','0.028001'
'NGCP::Panel::Controller::API::RtcAppsItem','0.022541'
'NGCP::Panel::Controller::API::RtcNetworks','0.027865'
'NGCP::Panel::Controller::API::RtcSessions','0.01885'
'NGCP::Panel::Controller::API::SoundGroups','0.00649'
'NGCP::Panel::Controller::API::Subscribers','0.078553'
'NGCP::Panel::Controller::EmergencyMapping','0.113477'
'NGCP::Panel::Controller::API::BillingZones','0.016667'
'NGCP::Panel::Controller::API::CCMapEntries','0.023047'
'NGCP::Panel::Controller::API::CFSourceSets','0.036678'
'NGCP::Panel::Controller::API::CallControls','0.028068'
'NGCP::Panel::Controller::API::CallForwards','0.031057'
'NGCP::Panel::Controller::API::InvoicesItem','0.004138'
'NGCP::Panel::Controller::API::NcosPatterns','0.028704'
'NGCP::Panel::Controller::API::PeeringRules','0.024696'
'NGCP::Panel::Controller::API::RewriteRules','0.017645'
'NGCP::Panel::Controller::API::SoundHandles','0.014952'
'NGCP::Panel::Controller::API::VouchersItem','0.01706'
'NGCP::Panel::Controller::SubscriberProfile','0.114457'
'NGCP::Panel::Controller::API::ApplyRewrites','0.013612'
'NGCP::Panel::Controller::API::BannedIpsItem','0.002632'
'NGCP::Panel::Controller::API::CallListsItem','0.009213'
'NGCP::Panel::Controller::API::ContractsItem','0.013944'
'NGCP::Panel::Controller::API::CustomersItem','0.009695'
'NGCP::Panel::Controller::API::FaxRecordings','0.007394'
'NGCP::Panel::Controller::API::Interceptions','0.027034'
'NGCP::Panel::Controller::API::PeeringGroups','0.015642'
'NGCP::Panel::Controller::API::RemindersItem','0.015323'
'NGCP::Panel::Controller::API::ResellersItem','0.010321'
'NGCP::Panel::Controller::API::SoundSetsItem','0.01006'
'NGCP::Panel::Controller::API::TopupLogsItem','0.012179'
'NGCP::Panel::Controller::API::TopupVouchers','0.037143'
'NGCP::Panel::Controller::API::AutoAttendants','0.026365'
'NGCP::Panel::Controller::API::CFMappingsItem','0.016156'
'NGCP::Panel::Controller::API::CFTimeSetsItem','0.025996'
'NGCP::Panel::Controller::API::CallRecordings','0.019877'
'NGCP::Panel::Controller::API::EmailTemplates','0.025217'
'NGCP::Panel::Controller::API::LnpNumbersItem','0.014776'
'NGCP::Panel::Controller::API::MaliciousCalls','0.017308'
'NGCP::Panel::Controller::API::MetaConfigDefs','0.014185'
'NGCP::Panel::Controller::API::NcosLevelsItem','0.016176'
'NGCP::Panel::Controller::API::PbxDevicesItem','0.024535'
'NGCP::Panel::Controller::API::PeeringServers','0.038618'
'NGCP::Panel::Controller::API::SoundFilesItem','0.02378'
'NGCP::Panel::Controller::API::SpeedDialsItem','0.015804'
'NGCP::Panel::Controller::API::SystemContacts','0.028454'
'NGCP::Panel::Controller::API::TrustedSources','0.028231'
'NGCP::Panel::Controller::API::UpnRewriteSets','0.027877'
'NGCP::Panel::Controller::API::VoicemailsItem','0.015827'
'NGCP::Panel::Controller::CallListSuppression','0.069412'
'NGCP::Panel::Controller::API::BannedUsersItem','0.004396'
'NGCP::Panel::Controller::API::BillingFeesItem','0.036807'
'NGCP::Panel::Controller::API::BillingNetworks','0.053442'
'NGCP::Panel::Controller::API::BillingProfiles','0.048841'
'NGCP::Panel::Controller::API::LnpCarriersItem','0.017169'
'NGCP::Panel::Controller::API::NcosLnpCarriers','0.026503'
'NGCP::Panel::Controller::API::PbxDeviceModels','0.028079'
'NGCP::Panel::Controller::API::ProfilePackages','0.032082'
'NGCP::Panel::Controller::API::RewriteRuleSets','0.026863'
